"episode"	"plot"	"rating"	"season"	"title"
1	"Rose Tyler is just an ordinary shop worker living an ordinary life in 21st century Britain. But that life is turned upside down when a strange man calling himself The Doctor drags her into an alien invasion attempt!    "	7.6	1	"Rose"
2	"The Doctor takes Rose to the year 5 billion to witness the destruction of the Earth.    "	7.7	1	"The End of the World"
3	"The Doctor has great expectations for his latest adventure when he and Rose join forces with Charles Dickens to investigate a mysterious plague of zombies.    "	7.7	1	"The Unquiet Dead"
4	"The Doctor returns Rose to her own time - well, sort of - but her family reunion is ruined when a spaceship crashes in the middle of London. What is the origin of the spaceship, and where has the Prime Minister gone in this time of crisis?    "	7.1	1	"Aliens of London"
5	"The fiendish Slitheen have been unmasked as the ones who crashed the spaceship into London as part of a ruse to trigger World War Three. But how can The Doctor save the planet when he's trapped inside a locked room?    "	7.1	1	"World War Three"
6	"The Doctor and Rose travel to the year 2012 and land in a museum of extra-terrestrial objects accumulated by the very wealthy Henry van Statten. He's an avid collector - the TARDIS lands on the museum's 53rd floor below ground level - but he's also using alien technology to develop new weapons from which he derives his large income. He's particularly proud of one device he's acquired but has not yet been able to make functional and to the Doctor's horror, it turns out to a very old and very dangerous enemy from the past.    "	8.7	1	"Dalek"
7	"The Doctor and Rose arrive in the year 200,000 to see The Fourth Great and Bountiful Human Empire. But something has gone wrong - someone is holding back the development of mankind. Who could have done this? And why?    "	7.3	1	"The Long Game"
8	"All of her life, Rose's mother told how great a man her father Pete was. He was killed by a hit and run driver when Rose was just a baby and among her many regrets was that her father died alone, just lying on the street. Rose asks the Doctor to take her back to that day. Rather than just be with him when he dies, she actually saves him and later admits that this was her plan all along. She soon realizes that her parents' marriage was not exactly the golden relationship she had claimed it to be. Far worse however, is that by saving her father, Rose has created a tear ...    "	8.4	1	"Father's Day"
9	"Rose and the Doctor find themselves in 1941 London when the TARDIS receives an emergency signal from another time-traveling vehicle. While the Doctor tries to determine where the object may have landed, Rose goes off in search of a child she can hear calling for help. When she gets herself into a precarious situation, she's rescued by the rather handsome RAF Captain Jack Harkness, who owns a time machine of his own. The Doctor meanwhile meets Nancy who has an interesting way of arranging meals for homeless children. They are also being chased by the child Rose heard ...    "	9.2	1	"The Empty Child"
10	"The Doctor, Rose and Captain Jack Harkness are still in the hospital with the gas mask-wearing mutants and are having some trouble finding a way out. The Doctor determines that the ambulance Captain Jack was using in his scam contained nano genes, similar to the one's he used to repair Rose's rope-burned hands. Only in this case, there are enough nano genes on the loose to ""repair"" an entire species and they have no idea what a human looks like in the first place. The future of the human race lies in Nancy accepting her true relationship to the little boy who is ...    "	9.2	1	"The Doctor Dances"
11	"Stopping off in present-day Cardiff to recharge the TARDIS, The Doctor, Rose and Jack encounter an old foe in the midst of hatching a scheme that could destroy the entire planet.    "	7.2	1	"Boom Town"
12	"Jack, The Doctor and Rose have been kidnapped and forced to play terrible and deadly games. But what happens to the bodies of the murdered contestants? And what sinister plot do the games hide?    "	8.7	1	"Bad Wolf"
13	"The Dalek fleet is poised to destroy the Earth and only The Doctor, Rose, Jack and a band of television producers can stop them.    "	9.1	1	"The Parting of the Ways"
0	"It's Christmas Eve, but this is to be a far from silent night - the cruel Sycorax have come to Earth to enslave mankind and, as ever, only The Doctor can stop them. Unfortunately, he's lying in a coma in Jackie's home...    "	8.2	2	"The Christmas Invasion"
1	"As Rose Tyler embarks upon her first big TARDIS adventure with the newly-regenerated Doctor, they discover a sinister hospital run by strange cat people and run in to two old acquaintances, The Face of Boe and Cassandra.    "	7.6	2	"New Earth"
2	"The Doctor and Rose are transported to 19th Century Scotland, where they meet Queen Victoria, and try to protect her from a ravenous werewolf and a band of assassinating warrior-monks    "	8.0	2	"Tooth and Claw"
3	"The Krillitanes - aliens with a mix-and-match physiology - are trying to crack the 'God-Maker', a paradigm to give them ultimate power. They are using children as a computer, and only the Doctor and Rose, re-united with Sarah Jane Smith and K9 can prevent them from becoming masters of time and space.    "	8.4	2	"School Reunion"
4	"The Doctor, Mickey and Rose land on a spaceship in the 51st century only to find 18th century Versailles on board, the time of Madame De Pompadour! To find out what's going on the Doctor must enter Versailles and save Madame De Popmpadour but it turns into an emotional roller coaster for the Doctor.    "	9.3	2	"The Girl in the Fireplace"
5	"Upon landing on an alternate version of the Earth, The Doctor, Rose and Mickey learn that Peter Tyler is apparently alive and well. Lurking in the shadows are creatures made to destroy - one of The Doctor's greatest fears have come true...the Cybermen are reborn.    "	7.8	2	"Rise of the Cybermen"
6	"Lumic's army of cybermen is on the rise, and with more and more people being converted by the hour, time is of the essence. The gang are reduced to fugitives as they roam the streets of parallel London trying to rid the earth of cybermen.    "	8.0	2	"The Age of Steel"
7	"In 1950s London, the police are hunting down strange, mute creatures. The people of Britain gather around their new-fangled ""tele-vision"" sets to celebrate the new Queen's coronation - but is something affecting the signal?    "	7.0	2	"The Idiot's Lantern"
8	"The TARDIS lands on an alien planet shrouded in a darkness that even the Doctor can't figure out. And what is lurking at the bottom of The Satan Pit?    "	8.8	2	"The Impossible Planet"
9	"As Rose battles the murderous Ood, the Doctor finds his every belief being challenged to the core, as the Pit beckons. With the planet threatening to fall into the black hole, the Doctor must make the ultimate sacrifice.    "	8.9	2	"The Satan Pit"
10	"A run in with the Doctor at a young age leads Elton to a group who's studying him, they become friends and have a laugh until Victor Kennedy arrives. Suddenly everything becomes more serious then people start disappearing from the group. Can the Doctor save Elton and explain his past before he's absorbed by the Absorbaloff    "	6.3	2	"Love & Monsters"
11	"The Doctor and Rose travel to London in 2012 to see the Olympics - only to find that children are mysteriously disappearing before peoples very eyes. The answer seems to lie with a young girl named Chloe and her strange drawings - but is there something more sinister behind the disappearances?    "	6.1	2	"Fear Her"
12	"As the ghosts of loved ones appear, the whole world celebrates. But as the Doctor investigates he believes that there is a more sinister motive behind their appearence. And deep within the Torchwood tower, a mysterious sphere containing the greatest enemies of the Doctor is opened...    "	8.6	2	"Army of Ghosts"
13	"Earth becomes the battlefield for the greatest and deadliest war of all time, as the Daleks and the Cybermen clash with the whole universe at stake. The Doctor and Rose, reunited with old friends and Cybermen experts Mickey and Jake, race to find a way to bring the war to an end before it brings about the destruction of the whole of space and time. But the Doctor soon faces an even bigger dilemma - could ending the war mean the death of Rose?    "	9.3	2	"Doomsday"
0	"The Doctor is baffled when a young woman is transported to the TARDIS on her wedding day, and attempts to find out how she is connected to an alien plot to destroy Earth.    "	7.6	3	"The Runaway Bride"
1	"When the hospital she works at is transported to the moon, medical student Martha Jones joins forces with The Doctor to hunt down an alien fugitive before the oxygen runs out.    "	8.0	3	"Smith and Jones"
