"episode"	"plot"	"season"	"title"	"rating"
1	"The West Wing staffers are introduced as each learns via phone or pager that the President was in a cycling accident. Josh faces the possible loss of his job after an on-air insult of a political opponent, which Toby tries to prevent by having Josh make a personal apology. Sam's fling the previous night with Laurie, who unbeknownst to Sam is a call girl, puts him in hot water, which he compounds when ineptly lecturing a class of 4th-graders about the White House and then asking their teacher which child is Leo's daughter. Leo must deal with the fallout from Josh's ...    "	1	"Pilot"	8.8
2	"Josh trumps a potential Democratic challenger in a masterful political move and then hires the challenger's chief of staff and ex-girlfriend Mandy Hampton. Toby tries to warn Sam away from his friendship with the call girl, but to Toby's horror, Sam seems intent on reforming her. CJ tries to spin the latest clash between President Bartlet and Vice President Hoynes. After an American plane is shot down carrying Bartlet's physician, Bartlet's response leaves Leo worried about the President's response.    "	1	"Post Hoc, Ergo Propter Hoc"	8.3
3	"After being offered ""a proportional response"" to the Syrian military's downing of a U.S. military plane on a medical mission (and carrying his newly named personal physician), the president demands an option that will have greater impact. Leo gradually must talk him down, while Bartlet snipes at everyone, including Abby. The president ultimately agrees to the initial option, but is not happy about it. Charlie Young is introduced as an applicant for a messenger job whom Josh decides to hire as Bartler's personal aide (note: he mentions being sent to Josh by Mrs. De La ...    "	1	"A Proportional Response"	8.7
4	"When an admittedly weak gun-control bill the White House has been backing turns out to be five votes short of House passage, Josh makes deals and threats to several Democratic reps, while Leo appeals to Hoynes for help. Elsewhere, while working the bill, Leo misses his anniversary, which he tries in vain to atone for, but eventually his wife Jenny decides to leave him.    "	1	"Five Votes Down"	8.3
5	"On the series' first ""Big Block of Cheese"" Day (nicknamed ""Total Crackpot Day"" by Josh), staffers meet with reps of various organizations causes, e.g., C.J. hosts a group that wants $900 million for a ""wolves only"" highway. The president has everyone to the residence for a homemade chili party, we learn about Mrs. Landingham's past, and Zoey is introduced to the group, including Charlie, for whom the intro soon becomes fateful (recurring romantic relationship throughout the series).    "	1	"The Crackpots and These Women"	8.8
6	"In the first of several episodes throughout the series' run that portrays ordinary Americans and how they interact with and ultimately affect the W.H., an Ohio middle school social studies teacher, a widower who has recently filled the brief remaining term of his late wife in the House, joins two other reps to meet with Toby and Mandy about changes to unfair rules in the U.S. Census written into the latest federal budget. The other two, career politicians, are completely resistant to the changes, but Mr. Willis is swayed by a potent argument Toby makes regarding ""...    "	1	"Mr. Willis of Ohio"	8.8
7	"While preparing for (and enduring) a state dinner for the newly-elected president of Indonesia, staff deal with a multitude of other problems: Josh and Mandy argue over the best way to handle an FBI standoff with militants in Idaho; Leo (and eventually Bartlet) intervenes in a negotiations between the Teamsters Union and national reps for the trucking industry; Toby tries to convince an Indonesian cabinet member to release a friend of his, an activist or incites anti-government protests, from prison; Sam witnesses Laurie at work as a call girl, serving as the state ...    "	1	"The State Dinner"	8.4
8	"A crucial banking bill is at risk when political rivals of environmentally sensitive President Bartlet attach a land-use rider to it that would allow strip-mining some of the Montana wilderness. C.J. tries to stamp out rumors that the Chief Executive chastised the Vice President during a cabinet meeting. An overworked Leo isn't too keen on his independent daughter Mallory dating the handsome Sam. C.J. continues to fend-off the romantic charms of a perceptive reporter with a knack for sniffing out juicy stories. Former lovers Mandy and Josh clash over the ...    "	1	"Enemies"	8.2
9	"When a Supreme Court justice retires, President Bartlet has a golden opportunity to impact the court's composition by nominating a favorite judge but when further study reveals the candidate's conflicting ideology, the President might change his mind and opt for another judge. In addition, a headline seeking congressman on the House Government Oversight Committee accuses the White House staff of substance abuse -- a dicey issue for one important member.    "	1	"The Short List"	8.7
10	"When a homeless veteran dies on the National Mall and his body remains uncollected for hours, Toby becomes fixated on getting him a proper burial.    "	1	"In Excelsis Deo"	9.1
